HUMAN00001	ENSG00000186092
HUMAN18721	ENSG00000125844
HUMAN18722	ENSG00000125888
HUMAN18723	ENSG00000089006
HUMAN18725	ENSG00000125850
HUMAN18726	ENSG00000125871
HUMAN18728	ENSG00000232838
HUMAN18729	ENSG00000149474
HUMAN18730	ENSG00000125846
HUMAN18734	ENSG00000089091
HUMAN18735	ENSG00000132664
HUMAN18736	ENSG00000089050
HUMAN18737	ENSG00000101310
HUMAN18738	ENSG00000232388
HUMAN18741	ENSG00000125821
HUMAN18742	ENSG00000132631
HUMAN18743	ENSG00000185052
HUMAN18744	ENSG00000132669
HUMAN18745	ENSG00000173418
HUMAN18746	ENSG00000101343
HUMAN18747	ENSG00000089101
HUMAN18750	ENSG00000173404
HUMAN18751	ENSG00000188559
HUMAN18753	ENSG00000088970
HUMAN18754	ENSG00000088930
HUMAN18755	ENSG00000125816
HUMAN18756	ENSG00000125820
HUMAN18758	ENSG00000125813
HUMAN18759	ENSG00000125798
HUMAN18760	ENSG00000132671
HUMAN18761	ENSG00000178726
HUMAN18762	ENSG00000125810
HUMAN18763	ENSG00000132661
HUMAN18764	ENSG00000125812
HUMAN18765	ENSG00000125814
HUMAN18766	ENSG00000125823
HUMAN18768	ENSG00000125831
HUMAN18769	ENSG00000125815
HUMAN18770	ENSG00000101435
HUMAN18771	ENSG00000173335
HUMAN18772	ENSG00000101439
HUMAN18773	ENSG00000101441
HUMAN18774	ENSG00000170373
HUMAN18775	ENSG00000170369
HUMAN18776	ENSG00000170367
HUMAN18777	ENSG00000149435
HUMAN18778	ENSG00000101463
HUMAN18779	ENSG00000077984
HUMAN18780	ENSG00000101474
HUMAN18781	ENSG00000154930
HUMAN18782	ENSG00000100987
HUMAN18785	ENSG00000197586
HUMAN18787	ENSG00000100994
HUMAN18790	ENSG00000100997
HUMAN18793	ENSG00000101003
HUMAN18794	ENSG00000101004
HUMAN18795	ENSG00000170191
HUMAN18796	ENSG00000130684
HUMAN18797	ENSG00000175170
HUMAN18798	ENSG00000215547
HUMAN18799	ENSG00000215545
HUMAN18800	ENSG00000131068
HUMAN18802	ENSG00000180483
HUMAN18804	ENSG00000204548
HUMAN18805	ENSG00000180424
HUMAN18806	ENSG00000180383
HUMAN18807	ENSG00000088320
HUMAN18808	ENSG00000101294
HUMAN18811	ENSG00000125968
HUMAN18812	ENSG00000131055
HUMAN18813	ENSG00000171552
HUMAN18814	ENSG00000088325
HUMAN18815	ENSG00000101306
HUMAN18816	ENSG00000179772
HUMAN18818	ENSG00000149599
HUMAN18819	ENSG00000131044
HUMAN18824	ENSG00000088356
HUMAN18825	ENSG00000260903
HUMAN18826	ENSG00000101331
HUMAN18828	ENSG00000101336
HUMAN18831	ENSG00000101337
HUMAN18833	ENSG00000126003
HUMAN18834	ENSG00000101346
HUMAN18835	ENSG00000101350
HUMAN18836	ENSG00000171456
HUMAN18839	ENSG00000197183
HUMAN18841	ENSG00000283233
HUMAN18842	ENSG00000149600
HUMAN18844	ENSG00000088305
HUMAN18845	ENSG00000101367
HUMAN18846	ENSG00000215529
HUMAN18847	ENSG00000167098
HUMAN18849	ENSG00000078898
HUMAN18851	ENSG00000167104
HUMAN18852	ENSG00000186190
HUMAN18853	ENSG00000186191
HUMAN18854	ENSG00000131050
HUMAN18855	ENSG00000131059
HUMAN18856	ENSG00000198183
HUMAN18857	ENSG00000125999
HUMAN18858	ENSG00000101391
HUMAN18859	ENSG00000101400
HUMAN18861	ENSG00000078699
HUMAN18862	ENSG00000125967
HUMAN18864	ENSG00000149609
HUMAN18865	ENSG00000182584
HUMAN18866	ENSG00000101412
HUMAN18867	ENSG00000101417
HUMAN18868	ENSG00000131061
HUMAN18869	ENSG00000101421
HUMAN18870	ENSG00000125970
HUMAN18871	ENSG00000125977
HUMAN18872	ENSG00000101440
HUMAN18873	ENSG00000101444
HUMAN18874	ENSG00000078747
HUMAN18876	ENSG00000125971
HUMAN18878	ENSG00000101460
HUMAN18879	ENSG00000101464
HUMAN18881	ENSG00000198646
HUMAN18882	ENSG00000078804
HUMAN18883	ENSG00000131067
HUMAN18886	ENSG00000131069
HUMAN18887	ENSG00000100983
HUMAN18888	ENSG00000078814
HUMAN18892	ENSG00000100991
HUMAN18893	ENSG00000088298
HUMAN18894	ENSG00000101000
HUMAN18896	ENSG00000126005
HUMAN18897	ENSG00000125966
HUMAN18898	ENSG00000261582
HUMAN18899	ENSG00000242372
HUMAN18902	ENSG00000125998
HUMAN18904	ENSG00000101019
HUMAN18907	ENSG00000204183
HUMAN18908	ENSG00000125965
HUMAN18909	ENSG00000126001
HUMAN18911	ENSG00000125975
HUMAN18913	ENSG00000125991
HUMAN18915	ENSG00000061656
HUMAN18917	ENSG00000214078
HUMAN18919	ENSG00000244462
HUMAN18920	ENSG00000244005
HUMAN18923	ENSG00000125995
HUMAN18925	ENSG00000131051
HUMAN18933	ENSG00000025293
HUMAN18935	ENSG00000171222
HUMAN18938	ENSG00000149646
HUMAN18940	ENSG00000088367
HUMAN18943	ENSG00000131043
HUMAN18944	ENSG00000080845
HUMAN18946	ENSG00000101335
HUMAN18947	ENSG00000118707
HUMAN18950	ENSG00000259399
HUMAN18952	ENSG00000101084
HUMAN18954	ENSG00000101082
HUMAN18955	ENSG00000101079
HUMAN18957	ENSG00000149636
HUMAN18958	ENSG00000149639
HUMAN18959	ENSG00000101342
HUMAN18961	ENSG00000101347
HUMAN18962	ENSG00000080839
HUMAN18964	ENSG00000101353
HUMAN18965	ENSG00000118705
HUMAN18967	ENSG00000118702
HUMAN18968	ENSG00000101363
HUMAN18970	ENSG00000197122
HUMAN18971	ENSG00000166619
HUMAN18972	ENSG00000053438
HUMAN18973	ENSG00000132792
HUMAN18974	ENSG00000132821
HUMAN18975	ENSG00000101407
HUMAN18977	ENSG00000101413
HUMAN18980	ENSG00000198959
HUMAN18981	ENSG00000149633
HUMAN18986	ENSG00000101425
HUMAN18987	ENSG00000129988
HUMAN18988	ENSG00000170471
HUMAN18989	ENSG00000182035
HUMAN18992	ENSG00000124143
HUMAN18994	ENSG00000101438
HUMAN18995	ENSG00000101442
HUMAN18996	ENSG00000101445
HUMAN18997	ENSG00000101447
HUMAN18998	ENSG00000101452
HUMAN18999	ENSG00000204103
HUMAN19000	ENSG00000198900
HUMAN19001	ENSG00000124181
HUMAN19004	ENSG00000174306
HUMAN19005	ENSG00000132793
HUMAN19006	ENSG00000183798
HUMAN19007	ENSG00000124177
HUMAN19009	ENSG00000196090
HUMAN19011	ENSG00000124193
HUMAN19012	ENSG00000185513
HUMAN19014	ENSG00000101049
HUMAN19016	ENSG00000101052
HUMAN19017	ENSG00000101057
HUMAN19018	ENSG00000124196
HUMAN19019	ENSG00000124191
HUMAN19021	ENSG00000149596
HUMAN19022	ENSG00000132823
HUMAN19023	ENSG00000124194
HUMAN19027	ENSG00000197296
HUMAN19028	ENSG00000101074
HUMAN19029	ENSG00000101076
HUMAN19033	ENSG00000124120
HUMAN19034	ENSG00000132824
HUMAN19035	ENSG00000168734
HUMAN19037	ENSG00000196839
HUMAN19038	ENSG00000064205
HUMAN19040	ENSG00000124249
HUMAN19041	ENSG00000101098
HUMAN19042	ENSG00000166913
HUMAN19044	ENSG00000101104
HUMAN19049	ENSG00000025772
HUMAN19050	ENSG00000101109
HUMAN19052	ENSG00000124134
HUMAN19053	ENSG00000175121
HUMAN19054	ENSG00000168703
HUMAN19055	ENSG00000124102
HUMAN19056	ENSG00000124233
HUMAN19057	ENSG00000124157
HUMAN19058	ENSG00000124107
HUMAN19059	ENSG00000124159
HUMAN19060	ENSG00000124232
HUMAN19061	ENSG00000124145
HUMAN19062	ENSG00000204070
HUMAN19063	ENSG00000254806
HUMAN19064	ENSG00000124251
HUMAN19066	ENSG00000244274
HUMAN19068	ENSG00000124155
HUMAN19069	ENSG00000101443
HUMAN19072	ENSG00000101446
HUMAN19074	ENSG00000243543
HUMAN19075	ENSG00000249139
HUMAN19076	ENSG00000101448
HUMAN19077	ENSG00000158901
HUMAN19078	ENSG00000180205
HUMAN19079	ENSG00000180305
HUMAN19080	ENSG00000180083
HUMAN19081	ENSG00000182931
HUMAN19083	ENSG00000168634
HUMAN19084	ENSG00000149651
HUMAN19085	ENSG00000124116
HUMAN19086	ENSG00000101457
HUMAN19088	ENSG00000175063
HUMAN19090	ENSG00000101470
HUMAN19092	ENSG00000124104
HUMAN19093	ENSG00000101473
HUMAN19095	ENSG00000132801
HUMAN19096	ENSG00000168612
HUMAN19097	ENSG00000149634
HUMAN19098	ENSG00000124257
HUMAN19099	ENSG00000064601
HUMAN19100	ENSG00000100979
HUMAN19101	ENSG00000100982
HUMAN19102	ENSG00000198026
HUMAN19103	ENSG00000100985
HUMAN19104	ENSG00000124140
HUMAN19110	ENSG00000124160
HUMAN19111	ENSG00000101017
HUMAN19113	ENSG00000149654
HUMAN19114	ENSG00000080189
HUMAN19115	ENSG00000062598
HUMAN19117	ENSG00000198185
HUMAN19118	ENSG00000149635
HUMAN19119	ENSG00000158296
HUMAN19121	ENSG00000172315
HUMAN19122	ENSG00000197496
HUMAN19124	ENSG00000064655
HUMAN19125	ENSG00000101040
HUMAN19126	ENSG00000124151
HUMAN19127	ENSG00000196562
HUMAN19128	ENSG00000124126
HUMAN19130	ENSG00000124198
HUMAN19131	ENSG00000124207
HUMAN19132	ENSG00000124214
HUMAN19135	ENSG00000124228
HUMAN19137	ENSG00000124201
HUMAN19139	ENSG00000158445
HUMAN19140	ENSG00000124212
HUMAN19141	ENSG00000158470
HUMAN19142	ENSG00000197818
HUMAN19143	ENSG00000158480
HUMAN19144	ENSG00000124226
HUMAN19147	ENSG00000124216
HUMAN19148	ENSG00000244687
HUMAN19151	ENSG00000124208
HUMAN19152	ENSG00000240849
HUMAN19154	ENSG00000172216
HUMAN19155	ENSG00000196396
HUMAN19156	ENSG00000042062
HUMAN19157	ENSG00000124171
HUMAN19160	ENSG00000124243
HUMAN19161	ENSG00000101126
HUMAN19162	ENSG00000000419
HUMAN19163	ENSG00000124217
HUMAN19164	ENSG00000026559
HUMAN19165	ENSG00000101096
HUMAN19166	ENSG00000054793
HUMAN19167	ENSG00000101115
HUMAN19168	ENSG00000020256
HUMAN19171	ENSG00000182463
HUMAN19173	ENSG00000171940
HUMAN19176	ENSG00000064787
HUMAN19177	ENSG00000019186
HUMAN19178	ENSG00000101132
HUMAN19179	ENSG00000280041
HUMAN19180	ENSG00000101134
HUMAN19181	ENSG00000054803
HUMAN19182	ENSG00000124089
HUMAN19183	ENSG00000124098
HUMAN19185	ENSG00000087586
HUMAN19186	ENSG00000101138
HUMAN19187	ENSG00000087589
HUMAN19188	ENSG00000022277
HUMAN19189	ENSG00000124091
HUMAN19190	ENSG00000124103
HUMAN19191	ENSG00000213714
HUMAN19192	ENSG00000087510
HUMAN19193	ENSG00000101144
HUMAN19195	ENSG00000054796
HUMAN19196	ENSG00000101146
HUMAN19198	ENSG00000132819
HUMAN19200	ENSG00000124092
HUMAN19203	ENSG00000124253
HUMAN19204	ENSG00000124256
HUMAN19207	ENSG00000124225
HUMAN19209	ENSG00000124237
HUMAN19210	ENSG00000124227
HUMAN19211	ENSG00000124209
HUMAN19212	ENSG00000124164
HUMAN19213	ENSG00000198768
HUMAN19215	ENSG00000124222
HUMAN19216	ENSG00000254995
HUMAN19217	ENSG00000215440
HUMAN19221	ENSG00000087460
HUMAN19222	ENSG00000101158
HUMAN19223	ENSG00000101160
HUMAN19224	ENSG00000101162
HUMAN19225	ENSG00000124172
HUMAN19226	ENSG00000101166
HUMAN19227	ENSG00000124203
HUMAN19228	ENSG00000124205
HUMAN19229	ENSG00000087495
HUMAN19230	ENSG00000196074
HUMAN19231	ENSG00000196227
HUMAN19232	ENSG00000132825
HUMAN19233	ENSG00000124215
HUMAN19235	ENSG00000179242
HUMAN19237	ENSG00000130699
HUMAN19239	ENSG00000149657
HUMAN19241	ENSG00000101182
HUMAN19244	ENSG00000184402
HUMAN19245	ENSG00000101181
HUMAN19246	ENSG00000101180
HUMAN19247	ENSG00000130703
HUMAN19248	ENSG00000130706
HUMAN19249	ENSG00000130702
HUMAN19252	ENSG00000171858
HUMAN19255	ENSG00000149679
HUMAN19256	ENSG00000130701
HUMAN19257	ENSG00000130700
HUMAN19258	ENSG00000101187
HUMAN19259	ENSG00000101188
HUMAN19260	ENSG00000101189
HUMAN19261	ENSG00000060491
HUMAN19263	ENSG00000092758
HUMAN19264	ENSG00000101190
HUMAN19266	ENSG00000101191
HUMAN19267	ENSG00000101193
HUMAN19268	ENSG00000101194
HUMAN19270	ENSG00000125533
HUMAN19271	ENSG00000149658
HUMAN19272	ENSG00000101197
HUMAN19274	ENSG00000101198
HUMAN19278	ENSG00000101199
HUMAN19280	ENSG00000101203
HUMAN19281	ENSG00000101204
HUMAN19284	ENSG00000075043
HUMAN19289	ENSG00000101210
HUMAN19290	ENSG00000125534
HUMAN19291	ENSG00000101213
HUMAN19292	ENSG00000125508
HUMAN19293	ENSG00000125531
HUMAN19294	ENSG00000130589
HUMAN19295	ENSG00000101216
HUMAN19296	ENSG00000197457
HUMAN19297	ENSG00000258366
HUMAN19298	ENSG00000026036
HUMAN19299	ENSG00000243509
HUMAN19300	ENSG00000101246
HUMAN19301	ENSG00000197114
HUMAN19303	ENSG00000273154
HUMAN19304	ENSG00000203896
HUMAN19306	ENSG00000125520
HUMAN19307	ENSG00000130584
HUMAN19308	ENSG00000183260
HUMAN19310	ENSG00000101150
HUMAN19311	ENSG00000101152
HUMAN19312	ENSG00000198276
HUMAN19313	ENSG00000196700
HUMAN19314	ENSG00000130590
HUMAN19316	ENSG00000101161
HUMAN19317	ENSG00000196421
HUMAN19318	ENSG00000203883
HUMAN19319	ENSG00000171703
HUMAN19321	ENSG00000171700
HUMAN19322	ENSG00000125510
HUMAN19323	ENSG00000171695
HUMAN19324	ENSG00000125522
HUMAN19325	ENSG00000196132
HUMAN19326	ENSG00000203880
HUMAN19331	ENSG00000277117
HUMAN19333	ENSG00000280071
HUMAN19335	ENSG00000276612
HUMAN19336	ENSG00000275464
HUMAN19338	ENSG00000280433
HUMAN19339	ENSG00000275993
HUMAN19340	ENSG00000274276
HUMAN19341	ENSG00000275895
HUMAN19343	ENSG00000276076
HUMAN19346	ENSG00000273590
HUMAN19348	ENSG00000278961
HUMAN19349	ENSG00000276289
HUMAN19350	ENSG00000274391
HUMAN19351	ENSG00000277282
HUMAN19352	ENSG00000280108
HUMAN19353	ENSG00000166351
HUMAN19354	ENSG00000188992
HUMAN19355	ENSG00000185272
HUMAN19356	ENSG00000155304
HUMAN19357	ENSG00000155307
HUMAN19358	ENSG00000243440
HUMAN19359	ENSG00000180530
HUMAN19360	ENSG00000155313
HUMAN19361	ENSG00000154639
HUMAN19362	ENSG00000154640
HUMAN19363	ENSG00000154642
HUMAN19365	ENSG00000154645
HUMAN19366	ENSG00000154646
HUMAN19367	ENSG00000154654
HUMAN19368	ENSG00000154719
HUMAN19370	ENSG00000154721
HUMAN19372	ENSG00000154723
HUMAN19373	ENSG00000154727
HUMAN19374	ENSG00000142192
HUMAN19375	ENSG00000166265
HUMAN19377	ENSG00000154734
HUMAN19379	ENSG00000154736
HUMAN19380	ENSG00000156239
HUMAN19381	ENSG00000198862
HUMAN19382	ENSG00000156253
HUMAN19383	ENSG00000156256
HUMAN19384	ENSG00000156261
HUMAN19386	ENSG00000156265
HUMAN19388	ENSG00000156273
HUMAN19390	ENSG00000171189
HUMAN19391	ENSG00000156282
HUMAN19392	ENSG00000156284
HUMAN19393	ENSG00000188694
HUMAN19394	ENSG00000232263
HUMAN19395	ENSG00000197683
HUMAN19396	ENSG00000206107
HUMAN19397	ENSG00000186980
HUMAN19398	ENSG00000182816
HUMAN19399	ENSG00000198390
HUMAN19400	ENSG00000240432
HUMAN19401	ENSG00000186971
HUMAN19402	ENSG00000186970
HUMAN19403	ENSG00000184351
HUMAN19404	ENSG00000186965
HUMAN19405	ENSG00000244025
HUMAN19406	ENSG00000186967
HUMAN19407	ENSG00000186977
HUMAN19408	ENSG00000186925
HUMAN19409	ENSG00000244362
HUMAN19412	ENSG00000212938
HUMAN19413	ENSG00000186930
HUMAN19415	ENSG00000184724
HUMAN19416	ENSG00000244624
HUMAN19418	ENSG00000184032
HUMAN19420	ENSG00000231068
HUMAN19421	ENSG00000187026
HUMAN19422	ENSG00000187005
HUMAN19423	ENSG00000183640
HUMAN19424	ENSG00000274749
HUMAN19425	ENSG00000182591
HUMAN19426	ENSG00000206102
HUMAN19427	ENSG00000156299
HUMAN19429	ENSG00000142168
HUMAN19430	ENSG00000156304
HUMAN19431	ENSG00000142149
HUMAN19432	ENSG00000159055
HUMAN19433	ENSG00000170262
HUMAN19435	ENSG00000142207
HUMAN19436	ENSG00000166979
HUMAN19437	ENSG00000242220
HUMAN19439	ENSG00000265590
HUMAN19442	ENSG00000159079
HUMAN19444	ENSG00000159082
HUMAN19445	ENSG00000159086
HUMAN19448	ENSG00000205929
HUMAN19449	ENSG00000205927
HUMAN19450	ENSG00000184221
HUMAN19452	ENSG00000159110
HUMAN19455	ENSG00000249624
HUMAN19456	ENSG00000243646
HUMAN19458	ENSG00000142166
HUMAN19460	ENSG00000159128
HUMAN19461	ENSG00000142188
HUMAN19463	ENSG00000177692
HUMAN19464	ENSG00000159131
HUMAN19466	ENSG00000159140
HUMAN19469	ENSG00000159147
HUMAN19471	ENSG00000205758
HUMAN19478	ENSG00000205726
HUMAN19481	ENSG00000241837
HUMAN19483	ENSG00000243927
HUMAN19484	ENSG00000198743
HUMAN19485	ENSG00000159197
HUMAN19486	ENSG00000205670
HUMAN19488	ENSG00000222018
HUMAN19489	ENSG00000243627
HUMAN19490	ENSG00000180509
HUMAN19492	ENSG00000159200
HUMAN19495	ENSG00000159212
HUMAN19496	ENSG00000159216
HUMAN19497	ENSG00000280170
HUMAN19498	ENSG00000185917
HUMAN19500	ENSG00000159228
HUMAN19503	ENSG00000159231
HUMAN19504	ENSG00000142197
HUMAN19505	ENSG00000159256
HUMAN19507	ENSG00000159259
HUMAN19508	ENSG00000159261
HUMAN19509	ENSG00000159263
HUMAN19511	ENSG00000159267
HUMAN19513	ENSG00000183145
HUMAN19514	ENSG00000185808
HUMAN19515	ENSG00000182670
HUMAN19516	ENSG00000157538
HUMAN19517	ENSG00000157540
HUMAN19518	ENSG00000157542
HUMAN19519	ENSG00000184029
HUMAN19521	ENSG00000198054
HUMAN19522	ENSG00000157551
HUMAN19523	ENSG00000157554
HUMAN19524	ENSG00000157557
HUMAN19525	ENSG00000183527
HUMAN19527	ENSG00000185658
HUMAN19529	ENSG00000205581
HUMAN19530	ENSG00000182093
HUMAN19535	ENSG00000157578
HUMAN19536	ENSG00000185437
HUMAN19538	ENSG00000183778
HUMAN19539	ENSG00000183067
HUMAN19540	ENSG00000183036
HUMAN19542	ENSG00000171587
HUMAN19543	ENSG00000182240
HUMAN19545	ENSG00000183844
HUMAN19546	ENSG00000183486
HUMAN19547	ENSG00000157601
HUMAN19548	ENSG00000184012
HUMAN19549	ENSG00000183421
HUMAN19550	ENSG00000141956
HUMAN19551	ENSG00000157617
HUMAN19552	ENSG00000173276
HUMAN19553	ENSG00000177398
HUMAN19557	ENSG00000160179
HUMAN19559	ENSG00000160180
HUMAN19561	ENSG00000160181
HUMAN19562	ENSG00000160182
HUMAN19563	ENSG00000160183
HUMAN19564	ENSG00000160185
HUMAN19565	ENSG00000160188
HUMAN19566	ENSG00000160190
HUMAN19567	ENSG00000160191
HUMAN19568	ENSG00000160193
HUMAN19569	ENSG00000160194
HUMAN19570	ENSG00000160199
HUMAN19571	ENSG00000160200
HUMAN19574	ENSG00000160201
HUMAN19575	ENSG00000160202
HUMAN19578	ENSG00000142178
HUMAN19579	ENSG00000160207
HUMAN19580	ENSG00000234289
HUMAN19581	ENSG00000160208
HUMAN19583	ENSG00000160209
HUMAN19586	ENSG00000160213
HUMAN19587	ENSG00000160214
HUMAN19588	ENSG00000160216
HUMAN19589	ENSG00000160218
HUMAN19590	ENSG00000241945
HUMAN19594	ENSG00000160221
HUMAN19595	ENSG00000160223
HUMAN19597	ENSG00000142182
HUMAN19598	ENSG00000160224
HUMAN19599	ENSG00000141959
HUMAN19601	ENSG00000160226
HUMAN19602	ENSG00000142185
HUMAN19603	ENSG00000160233
HUMAN19604	ENSG00000175894
HUMAN19605	ENSG00000215455
HUMAN19606	ENSG00000205445
HUMAN19607	ENSG00000212935
HUMAN19608	ENSG00000215454
HUMAN19609	ENSG00000241123
HUMAN19610	ENSG00000188155
HUMAN19612	ENSG00000272804
HUMAN19614	ENSG00000187766
HUMAN19615	ENSG00000221837
HUMAN19616	ENSG00000221859
HUMAN19617	ENSG00000243489
HUMAN19618	ENSG00000205439
HUMAN19620	ENSG00000212933
HUMAN19621	ENSG00000221864
HUMAN19622	ENSG00000187175
HUMAN19623	ENSG00000189169
HUMAN19624	ENSG00000184787
HUMAN19628	ENSG00000184900
HUMAN19630	ENSG00000183255
HUMAN19633	ENSG00000160255
HUMAN19636	ENSG00000160256
HUMAN19638	ENSG00000197381
HUMAN19641	ENSG00000186866
HUMAN19644	ENSG00000182871
HUMAN19647	ENSG00000173638
HUMAN19648	ENSG00000183570
HUMAN19649	ENSG00000142156
HUMAN19651	ENSG00000142173
HUMAN19652	ENSG00000160282
HUMAN19654	ENSG00000160284
HUMAN19655	ENSG00000160285
HUMAN19657	ENSG00000160294
HUMAN19658	ENSG00000182362
HUMAN19660	ENSG00000160298
HUMAN19661	ENSG00000160299
HUMAN19662	ENSG00000160305
HUMAN19663	ENSG00000160307
HUMAN19665	ENSG00000160310
HUMAN19671	ENSG00000130538
HUMAN19672	ENSG00000198062
HUMAN19674	ENSG00000198445
HUMAN19675	ENSG00000172967
HUMAN19676	ENSG00000215568
HUMAN19677	ENSG00000177663
HUMAN19678	ENSG00000183307
HUMAN19679	ENSG00000069998
HUMAN19680	ENSG00000093072
HUMAN19681	ENSG00000099954
HUMAN19683	ENSG00000182902
HUMAN19684	ENSG00000131100
HUMAN19687	ENSG00000099968
HUMAN19689	ENSG00000015475
HUMAN19692	ENSG00000243156
HUMAN19698	ENSG00000215193
HUMAN19700	ENSG00000183785
HUMAN19702	ENSG00000184979
HUMAN19703	ENSG00000274252
HUMAN19704	ENSG00000278558
HUMAN19707	ENSG00000275793
HUMAN19708	ENSG00000183628
HUMAN19711	ENSG00000100033
HUMAN19712	ENSG00000279560
HUMAN19713	ENSG00000070413
HUMAN19714	ENSG00000100056
HUMAN19715	ENSG00000206203
HUMAN19716	ENSG00000063515
HUMAN19717	ENSG00000100075
HUMAN19718	ENSG00000070371
HUMAN19721	ENSG00000100084
HUMAN19724	ENSG00000242259
HUMAN19725	ENSG00000185608
HUMAN19726	ENSG00000070010
HUMAN19727	ENSG00000093009
HUMAN19728	ENSG00000184113
HUMAN19730	ENSG00000184702
HUMAN19732	ENSG00000203618
HUMAN19733	ENSG00000184058
HUMAN19735	ENSG00000185838
HUMAN19736	ENSG00000215012
HUMAN19738	ENSG00000184470
HUMAN19740	ENSG00000093010
HUMAN19743	ENSG00000099889
HUMAN19744	ENSG00000183597
HUMAN19748	ENSG00000128191
HUMAN19749	ENSG00000099899
HUMAN19750	ENSG00000099901
HUMAN19754	ENSG00000099904
HUMAN19755	ENSG00000234409
HUMAN19756	ENSG00000040608
HUMAN19757	ENSG00000128185
HUMAN19758	ENSG00000161133
HUMAN19759	ENSG00000185252
HUMAN19761	ENSG00000244486
HUMAN19762	ENSG00000099910
HUMAN19764	ENSG00000099917
HUMAN19767	ENSG00000241973
HUMAN19768	ENSG00000099937
HUMAN19769	ENSG00000099940
HUMAN19770	ENSG00000099942
HUMAN19771	ENSG00000183773
HUMAN19772	ENSG00000099949
HUMAN19776	ENSG00000184436
HUMAN19777	ENSG00000099957
HUMAN19779	ENSG00000099960
HUMAN19780	ENSG00000187905
HUMAN19781	ENSG00000133475
HUMAN19782	ENSG00000274600
HUMAN19783	ENSG00000169635
HUMAN19785	ENSG00000206140
HUMAN19788	ENSG00000183246
HUMAN19789	ENSG00000185651
HUMAN19790	ENSG00000161179
HUMAN19792	ENSG00000161180
HUMAN19795	ENSG00000128228
HUMAN19796	ENSG00000100023
HUMAN19799	ENSG00000100027
HUMAN19801	ENSG00000100030
HUMAN19802	ENSG00000100034
HUMAN19804	ENSG00000100038
HUMAN19806	ENSG00000211637
HUMAN19807	ENSG00000211638
HUMAN19808	ENSG00000211639
HUMAN19809	ENSG00000211640
HUMAN19810	ENSG00000211641
HUMAN19811	ENSG00000211642
HUMAN19812	ENSG00000169575
HUMAN19813	ENSG00000211643
HUMAN19814	ENSG00000211644
HUMAN19815	ENSG00000211645
HUMAN19816	ENSG00000223350
HUMAN19817	ENSG00000211647
HUMAN19818	ENSG00000211648
HUMAN19819	ENSG00000211649
HUMAN19820	ENSG00000211650
HUMAN19821	ENSG00000211651
HUMAN19822	ENSG00000211652
HUMAN19823	ENSG00000211653
HUMAN19824	ENSG00000211654
HUMAN19825	ENSG00000211655
HUMAN19826	ENSG00000275004
HUMAN19827	ENSG00000169548
HUMAN19828	ENSG00000185686
HUMAN19831	ENSG00000211656
HUMAN19832	ENSG00000211657
HUMAN19833	ENSG00000100121
HUMAN19834	ENSG00000211658
HUMAN19835	ENSG00000211659
HUMAN19836	ENSG00000211660
HUMAN19837	ENSG00000211661
HUMAN19838	ENSG00000211662
HUMAN19839	ENSG00000211663
HUMAN19840	ENSG00000211664
HUMAN19841	ENSG00000211665
HUMAN19842	ENSG00000211666
HUMAN19843	ENSG00000211667
HUMAN19844	ENSG00000211668
HUMAN19845	ENSG00000211669
HUMAN19846	ENSG00000211670
HUMAN19847	ENSG00000278196
HUMAN19848	ENSG00000211672
HUMAN19849	ENSG00000211673
HUMAN19850	ENSG00000254709
HUMAN19852	ENSG00000211677
HUMAN19854	ENSG00000211679
HUMAN19859	ENSG00000211685
HUMAN19860	ENSG00000100218
HUMAN19863	ENSG00000128266
HUMAN19864	ENSG00000100228
HUMAN19866	ENSG00000186716
HUMAN19867	ENSG00000128322
HUMAN19868	ENSG00000189269
HUMAN19870	ENSG00000159496
HUMAN19873	ENSG00000187792
HUMAN19874	ENSG00000128218
HUMAN19876	ENSG00000169314
HUMAN19877	ENSG00000250479
HUMAN19878	ENSG00000099953
HUMAN19880	ENSG00000280178
HUMAN19881	ENSG00000099956
HUMAN19885	ENSG00000099958
HUMAN19887	ENSG00000133460
HUMAN19890	ENSG00000251357
HUMAN19891	ENSG00000240972
HUMAN19892	ENSG00000133433
HUMAN19893	ENSG00000099974
HUMAN19895	ENSG00000099977
HUMAN19897	ENSG00000099984
HUMAN19898	ENSG00000099991
HUMAN19899	ENSG00000099994
HUMAN19901	ENSG00000099998
HUMAN19902	ENSG00000100014
HUMAN19903	ENSG00000128271
HUMAN19904	ENSG00000100024
HUMAN19906	ENSG00000138867
HUMAN19908	ENSG00000100028
HUMAN19910	ENSG00000100031
HUMAN19912	ENSG00000178026
HUMAN19914	ENSG00000184571
HUMAN19915	ENSG00000167037
HUMAN19916	ENSG00000206069
HUMAN19917	ENSG00000197077
HUMAN19919	ENSG00000100053
HUMAN19920	ENSG00000244752
HUMAN19921	ENSG00000100068
HUMAN19922	ENSG00000100077
HUMAN19923	ENSG00000133454
HUMAN19924	ENSG00000100095
HUMAN19925	ENSG00000128203
HUMAN19926	ENSG00000100099
HUMAN19928	ENSG00000100104
HUMAN19929	ENSG00000100109
HUMAN19930	ENSG00000128294
HUMAN19932	ENSG00000100122
HUMAN19933	ENSG00000196431
HUMAN19934	ENSG00000169184
HUMAN19935	ENSG00000180957
HUMAN19936	ENSG00000100154
HUMAN19938	ENSG00000183765
HUMAN19940	ENSG00000100209
HUMAN19941	ENSG00000159873
